nodeID,networkCanvasEgoUUID_x,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY,session_id,networkCanvasEgoUUID_y,networkCanvasCaseID,networkCanvasSessionID,networkCanvasProtocolName,sessionStart,sessionFinish,sessionExported,APP_VERSION,COMMIT_HASH,secret_word,in_gcc
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.5603890130109082,0.406008675523741,1075.95,641.51,cmh20p3iy0027sa27jqf9dcog,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20p3iy0027sa27jqf9dcog,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:16:53.146Z,2025-10-22T13:20:15.652Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,marmite,1.0
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.2991503869256995,0.3213542375848587,574.37,732.94,cmh20p3iy0027sa27jqf9dcog,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh20p3iy0027sa27jqf9dcog,FSDS_ConceptMap_v01.netcanvas,2025-10-22T13:16:53.146Z,2025-10-22T13:20:15.652Z,2025-10-24T12:36:28.565Z,v3.0.0,Unknown commit hash,marmite,1.0
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.5142272885485555,0.7510619530651563,987.32,268.85,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.5877392969021928,0.3529282050091688,1128.46,698.84,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.4462843717368604,0.6143891738817576,856.87,416.46,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8lkG5LFSea,gender,0.3293334493560738,0.4212645946008681,632.32,625.03,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,jWW9gVNZ5Z,inequality,0.3983901844761573,0.4435481999025092,764.91,600.97,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WTyHE68aut,social norms,0.3939349112426035,0.5460527842900582,756.36,490.26,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,uBiRoP3A3s,progress,0.4641054646710756,0.4985144263132239,891.08,541.6,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Aq4q5O2VkA,race-ethnicity,0.3137399930386356,0.5282259000487454,602.38,509.52,cmh2gexi60035sa27kedegg6s,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,Anonymous Participant,cmh2gexi60035sa27kedegg6s,FSDS_ConceptMap_v01.netcanvas,2025-10-22T20:36:52.638Z,2025-10-22T20:41:27.535Z,2025-10-24T12:35:48.004Z,v3.0.0,Unknown commit hash,porcupine,1.0
