nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4807037741515667,0.4818277694398247,922.95,559.63
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.3950095104615077,0.4714436376911532,758.42,570.84
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.5383672039243167,0.3559201719871821,1033.67,695.61
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.5559865852437681,0.5272583458402629,1067.49,510.56
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,jWW9gVNZ5Z,inequality,0.3894033436780459,0.6557619762300734,747.65,371.78
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.4278456301932125,0.7751794913397964,821.46,242.81
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,SP780kx1IA,development,0.6344729202122334,0.3896686001703646,1218.19,659.16
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,N7PLUDZOj9,policy,0.4606817499249174,0.6051393339552995,884.51,426.45
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.5471768945840424,0.712874700847767,1050.58,310.10
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.6609019921914105,0.5155761976230073,1268.93,523.18
