nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.4678896786465112,0.6281383894606175,898.35,401.61
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.3581689858844729,0.5525367396788532,687.68,483.26
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4943187506256883,0.4935930805269692,949.09,546.92
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.5463760136149765,0.5230649101029111,1049.04,515.09
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.4294473921313445,0.3372642453850158,824.54,715.75
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,fWLVVobTqz,culture,0.5471768945840424,0.2168141592920354,1050.58,845.84
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.6601011112223446,0.368017458855564,1267.39,682.54
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,acTsAWfdzn,optimisation,0.6552958254079487,0.588415488727826,1258.17,444.51
