nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4494659717312277,0.389954282477647,862.97,658.85
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.5631917809076291,0.3472306509689687,1081.33,704.99
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.5207448239615075,0.4715175789942145,999.83,570.76
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.416629646546492,0.5207144880042076,799.93,517.63
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.4911120426972338,0.2837925314560829,942.94,773.50
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ARTDRWwDGL,history,0.6024351939332887,0.4883481004976332,1156.68,552.58
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,N7PLUDZOj9,policy,0.4062181288049905,0.2630780434518752,779.94,795.88
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,m3bCphZ8J2,technology,0.3693773737196774,0.3964275599789618,709.20,651.86
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,OruxeroRhC,structure,0.6360724050981398,0.3291054739652871,1221.26,724.57
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,8JFsJYcFYb,identity,0.5816121584502856,0.220354411943197,1116.70,842.02
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,SP780kx1IA,development,0.3277313027536712,0.2954444309584496,629.24,760.92
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WTyHE68aut,social norms,0.6705105022431065,0.2255330339442489,1287.38,836.42
