nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.3030463911009986,0.4847507331378299,581.85,556.47
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.6056124383769435,0.4870967741935484,1162.78,553.94
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,kojNKla2jv,context,0.5570724307925673,0.356891495601173,1069.58,694.56
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,S941vbbT0r,design,0.535229427379598,0.4483870967741935,1027.64,595.74
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WAhTMmxJoA,knowledge,0.3062823916066237,0.5950146627565982,588.06,437.38
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WZuDbuOSgL,macro-micro,0.472127417519909,0.6278592375366568,906.48,401.91
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,l5ng7z2jql,user experience,0.633927442801163,0.3111436950146628,1217.14,743.96
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ndsons1JEx,social networks,0.6735684489950702,0.5809384164222874,1293.25,452.59
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,uBiRoP3A3s,progress,0.379092402983188,0.5328445747800586,727.86,504.53
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,qlYrXp5pWY,power,0.5247124257363165,0.682991202346041,1007.45,342.37
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,FXe1ucLJSr,perspective,0.4349134117052206,0.406158357771261,835.03,641.35
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,acTsAWfdzn,optimisation,0.5878144355960055,0.2325513196480938,1128.60,828.84
