nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,user_layout_x,user_layout_y,user_layout_screenSpaceX,user_layout_screenSpaceY
1,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,ZuysvCGddv,AI,0.4935147006375804,0.5759409559067825,947.55,457.98
2,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,zfLP4gy4BA,analysis,0.4190323044868386,0.6290996250415302,804.54,400.57
3,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,QUTNIZIDgY,change,0.4911120426972338,0.4650671602828801,942.94,577.73
4,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,d1Lcl1ZtLG,collective,0.5784086145298236,0.5288575632445773,1110.54,508.83
5,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,KaMS6JqOHq,ethics,0.5191430520012764,0.474180074991694,996.75,567.89
6,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,eirRfq6JdI,justice,0.5575855790468205,0.677701836821871,1070.56,348.08
7,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,YfjJV5hkMD,truth,0.5183421660211609,0.3314110778869429,995.22,722.08
8,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,bihlMPLDwN,community,0.4214349624271851,0.4893682661730505,809.16,551.48
9,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,jWW9gVNZ5Z,inequality,0.4326473661488021,0.3374863543594855,830.68,715.51
10,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,qlYrXp5pWY,power,0.4670854632937687,0.3663439176040628,896.80,684.35
11,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,RtJiUdZJi6,empirical data,0.4782978670153858,0.6837771132944136,918.33,341.52
12,7be8425e-a3ba-4d37-a9c9-14ea20de21cb,WGBnkFwIuN,theory,0.5888201322713251,0.3602686411315202,1130.53,690.91
